rating,review
4,good construction
4,nice cables
5,perfect
5,good insert cable
5,excellent insert cable
5,they work great
5,i needed this for returns
5,soundman must have insert cables
5,good price vs value works great for my home studio
5,just the right product just the right price
5,use to plug ipod into guitar amp
5,plugged it in and it works
5,sound engineers solution
5,the exact cable i need for my application
4,almost stars for the price
5,works good good price
5,inexpensive not cheap
4,good
4,does the job
5,great pedal cable connectors
5,great durable pedal cable
5,works great
4,works just fine
5,good product still use it hasslefree order
5,good budget cable
4,just what you pay for
5,just right
5,decent connector decent price
5,reliable and great
5,no frill cordage
5,great
5,possibly better than the metal ended ones
4,nice tool although not a transformer balancing device
5,versatility
5,no problems
5,a quality adapter
4,it works
4,gets the job done
2,not what i thought
5,its affordable and it works
5,cant beat it
5,works as intended
4,nice utility wish it had a little more length on the split cable
5,great y cable
5,does what it needs to
4,great cables
5,nice
5,great product for running a clean separate line of audio
5,this product works great worth the extra money
5,magic spray
5,works well
3,there used to be better stuff
5,a five ounce can of magic
5,its magic in a can
4,used it on my printer cartridge
5,just what i needed
5,scratchy bass guitar pot scratchy no more
5,this stuff is great
3,kinda worked kinda didnt
5,works on potentiometers
5,good stuff
5,cleaned the pots on my bass just fine
5,good usable mic
5,good microphone
4,very satisfied
5,excellent allpurpose mic
4,good enough for professional use
4,nice surprise
4,good value not the best quality
4,cables are good for studio use but
5,great deal for the money i paid
4,cheap works strong butyl rubber smell thin cable
4,fair quality
3,thin cables
4,this microphone is great for beginners
4,good for the price
5,good quality as you would expect from shure
5,great mic great deal
4,buy this
4,good mic for the price
4,unbiased review
5,very good lead vocal microphone
5,great so far
4,good mic
4,shure quality and construction but not quite equal to the sm
5,good mic
5,classic that delivers
5,this is the best f mic ever
5,best all around for over years
5,best in price range
5,industry standard
5,classic the last of shures good mics
5,its an sm whats there to say
4,the old stand by
4,one half of shures long lasting dynamic duo
5,the standard
4,good mic
5,this shure is a great mic
5,shure
5,industry standard for live performance microphones
4,good product for the price
4,standard
4,good for vocals only
5,very very satisfied
5,great allaround vocal mic
5,great product great supplier
5,jazzgryl
5,quality at a good price
4,good all around vocal mic
4,takes a licking and keeps on ticking
5,a shure bet
4,industry standard
5,good value for home recording
5,good cable for next to nothing
4,works as it should for the person on a budget
1,died after days of use
4,does the job but there are better quality ones out there
5,this gets stars for value but doesnt use my favorite xlr end
5,very satisfied
4,feels cheap but does the job
5,it works
4,great product fast service crazy low price
4,good cable
4,decent xlr cable
5,quality made
4,works well with guitar amps if ou tighten the set screws
5,low price for a great mic cable
5,xlr male to xlr female microphone cable feet
5,these cables are super
5,good rack screws at a good price
5,they do the job
4,good product
5,it fits very good to rack holes
5,yep they are rack screws
5,better than the nd hand rack screws
5,nice stylish looking screws for rack cabinets
5,best rack screws for your money
5,great
5,screws why not even numbers would be nice
5,as good as it gets
5,get screwed thats what they are for
5,like it
5,best all around mic for live applications
5,built like a hammer better than some hammers actually
5,my favorite mic
5,better than sm
5,beyond fantastic
5,rock solid
5,best tremolo pedal for the money
3,not bad but the cool cat line is more and a better build
4,gets the job done
5,these old time food pedals are the best
4,built cheap sounds great
4,sounds great
5,always great kyser
5,great price
4,its cheap easy sturdy and works
5,pretty and works nicely
5,the way a cap should be
4,this was recommended to me by my teacher
4,easy to use beautiful
5,looks great
5,great string capo that works on string as well
5,solid construction works well
5,these are my favorites
5,awesome product looks great on my american flag themed guitar
5,the best capo ive ever used
5,this gold capo matches the gold keys of my guitar
5,easy to grasp and use
5,this capo is as good as ive ever used and its in pink which
4,quickest changing capo
4,basic capo
5,best capo out there
5,perfect capos
2,its ok but i wish id bought something else
3,a reasonably decent capo that you can afford to leave somewhere
5,works great for my ukulele
5,its a capo
5,and all together now
4,good effective capo
5,nd one
5,great capo
5,great capo for quick changes
4,nice
5,excellent
5,good quality
5,convenience won
5,kyser makes the best
4,kyser capo
5,works for me
4,they work pretty well
5,great product i love the capo they made
3,just an ok capo
4,works well looks nice minor complaints
5,capo
5,beautiful piece
5,pink
5,nice capo
4,not my taste
5,not the fullest tone but you already knew that
5,sounds perfect
4,great strings
5,strings
5,my fingers love these
5,great strings that dont break the bank
5,pk
5,best acoustic strings
5,best product
5,good i like it
4,my third pack
4,okay strings for folk guitar
5,love these guitar strings
5,very impressive product
5,sound good on a dread too
3,silk and steel strings
4,sound great
4,nice little pick holder
5,this is second batch i ordered
4,love the concept
2,ok pick holder
3,ok
3,lot of money for foam
5,very good pick holder
5,a great gadget add on to my guitars
5,handy
4,decent pick holder
4,its a wedgie
4,it works
5,back to order more
4,good product
5,very cool
4,great for my lap steel guitar
5,a very good selection
5,love it
5,this guitar is beautiful
3,my mistake for buying sight unseen
5,fantastic guitar
4,good for when youre ready for your second guitar
4,first electric guitar
5,quality guitar at a great price
5,epiphone lp les paul electric guitar vintage sunburst
5,sweet through and through
5,very happy with my les paul
5,the best guitar i have ever owned
5,epi les paul special awesome
4,nice for the money
5,after a proper setup stars damn nice guitar
5,makes you sound like eric clapton
5,wellmade plays well
5,good value lp
3,nice guitar but sounds
3,stars good value but it needed a lot of work
5,nice guitar and a great value
3,not mahogany
5,freakin sick
5,almost as good as my lp studio deluxe plustop
5,theres a reason it receives star
5,five stars for value and playability
5,sweet little g
5,a great guitar for the price
2,stays in tune better
5,beautiful and perfectly made
5,amazing soundnice price
5,epiphone lp special ii les paul electric guitar vintage sunburst
5,just amazing
4,wonderful but careful with the right angle
5,quiet get away
4,great idea
5,good quality
3,great design love the switch
5,great quality
5,awesome
3,disapointed in planet waves
5,planet waves foot circuit breaker inch instrument cable
5,what a boss
5,been part of my rig since
5,amaizing
5,youll never buy another chorus pedal
5,boss ch super chorus pedal
5,boss is boss
4,sustainer
4,great pedal but you will need a noise gate
5,just perfect
4,boss cs compressor
4,good but not great sustainleveler effect from boss
5,great unit
5,does what its supposed to do very well
4,solid pedal for a moderate amount of tight sounding distortion
5,distorts sound just like it says
5,must have
5,classic pedal and a must have for anyone who plays electric
1,it distorts
4,the go to distortion pedal
5,i like the sound of this pedal
5,the classic boss distortion pedal for
2,wish i knew then what i know now
1,beginners beware
4,nice pedal
5,boss is the boss
3,the most basic of basic distortion pedals
5,great pedal
4,nostalgia durability and affordabilitybut not elite tone
3,its been around for decades but
5,truly one of the best
5,great for oldtime distortion
5,great st pedal updated
4,good metal pedal but a bit muddy and sucks tone
4,still the best
4,the metal pedal
5,very useful pedal to have
5,great for metal and rock guitar
5,best pedal by far
4,one of the better distortion pedals
4,versatile pedal for distortion but not the best
5,friend loved it very much
5,a great pedal
4,versatile
5,overall a great pedal
5,great pedal
3,great just not what i was looking for in sound
5,amazing
5,boss overdrive
4,nice pedal
4,sharp and cutting
5,great boost to your amps overdrive
5,classic overdrive established over yrs ago
4,good value and works well with solid state and valve amps
5,the yellow pedal everyone should have
5,a versatile overlooked classic overdrive from boss
5,for a boost and more
5,a gem
5,excellent pedal
5,easily one of my favorite tremolo pedals
5,nice tremelo peday
5,great tremolo from boss
5,great pedal
5,superb
5,nice basic tremolo sounds
5,cheaper alternative
3,using it for danelectro mini amp
5,it works
5,great for any danlectro product
5,excellent quiet pedal power
5,the perfect guitar pedal adapter
4,works great with the danelectro honeytone
5,this
5,quiet as a mouse
5,great affordable wah wah pedal
5,the best
5,now thats a wah wah
4,great tone but moody switch
5,mod it
5,dunlop the original crybaby pedal
5,everything i ever expected
4,takes a licking and keeps on wahing
5,it cries
3,step to turn onoff
5,i love it works great so many possibilities
5,original is still
5,nothing sounds like the classics
5,the original
2,dunlop the original crybaby pedal
4,thouroughly unimpressed
3,serious musicians look elsewhere
4,the legend lives on
5,cry baby cry
5,a classic
3,too much noise
5,its a classic for a reason
3,durability issues with potentiameter
5,no buzz great convenience
5,best string capo ever
5,kyser caps are an easy recommendation
4,good buy
5,absolute necessity
5,never can go wrong with kyser
5,a very good ukulele capo
5,its a capo
4,im new to a capo
5,perfect fit for my ukulele
4,wow wow wow for ukulele but one caveat
5,good capo for small instrument
5,works great
5,kyser ukulele capo
3,not enough pressure for a mandolin
5,kyser banl mandolin capo
5,seems well built practical
4,its a capo
5,kyser is the cadillac
5,one of the best mandolinbanjo capos out there
5,couldnt ask for more
5,best straplocks
4,probably the best strap lock system ever imho
4,they work fine so far but still scared oo
4,does not fit gibson sg fender strat seems good
4,work fine kinda protruding
5,work great
5,life saver
4,i prefer scahllers
5,work great
5,easy to install and use
5,by far the best strap lock option
5,love em
5,nice locks
5,simple easy to install
4,gibson good dunlop dual design straploks
5,easy to install does the job
5,want security and convenience this is it for guitar strap usage
5,great locking system
5,an essential item
5,great buy
5,sturdy and easy to install
5,save your axe
5,going to get them for all my guitars
5,you should definitley buy these
5,working perfect
4,vastly superior designfunction compared to schaller style
4,dont know why i put off getting this
5,what a fantastic way to secure a guitar
4,like it
1,not as good as schallers
5,reliable
2,disappointing quality and engineering
3,so far so good but may have found something much better
2,too big
4,work fine tight fit with some straps
5,dont let your guitar fall
3,screws strip too easy but good if you can screw in
4,excellent strap lock system with one small problem
5,great strap locks for any guitar
5,use on all my guitars
4,great product bad shipping from amazon
4,great locks
5,great straplocks
5,great straplok system
4,better than fenders strap locks
5,excellent guitar saving straplocks
5,great strap protector
4,ok if you got alot of axes and a fav strap
5,guitar strap locks a must have
5,the best straplocks available
5,best straplock system
5,strap locks
5,always straploks
3,good
5,the absolute best
5,perfect
5,great product
5,dunlop guitar strap locks
4,like them better than my old schaller ones
5,an essential mod
5,youd be hard pressed to find a fault with these
5,the best straplocks available at any price
5,rock solid straplok system
5,trusted many times over
5,works
4,have these on all my guitars
5,good product fit schecter hellraiser perfectly
3,works but had to ruin a strap for everything else
5,essential for guitars security
5,one for every guitar
5,efficient
4,almost perfect
4,good stuff
5,
4,martin ukulele strings review
5,the best of the lot
3,aquila is better
5,great strings
5,works great priced right
4,great
4,easy to use works
4,nady mpf pop filter
4,does the job well
5,does the job properly
4,will give you better recordings but can be a pain
5,works fine
4,works as a pop filter should
4,works well and looks pro
2,mmm not that pleased
5,works like a charm
1,something funky going on
4,very useful
1,yuck
5,good for home use
5,does its job
2,untruthful seller
5,does exactly what its supposed to do
5,it works
4,above average pop filter
4,decent pop filter
5,pop b gone
3,it gets the job done thats what matters right aha
3,three stars
4,good unit does the job
4,does what it says
4,microphone filter
4,get this for your microphone
5,you need it
5,does the job well
5,great pop filter with long neck
5,nady pop filter
5,great pop filter
4,what can i say it is a pop filter
4,good for the price
5,definitely an improvement
5,perfectly adjustable
4,its necessary so get one already
5,great pop filter
4,solid construction
5,awesome
5,pretty good filter for the price
5,high quality cable
5,excellent product
5,use it at every gig
5,vintage look cable
4,great quality cable
5,short
5,great cable
5,outstanding cable
2,to bad
5,a great heavyduty braided cable
5,pleased with the cables
5,great cable matches my blues jr
4,bought a pair
5,great retro look
5,great cable
5,exactly as advertised
5,nice portable amplifier for practice
5,for the price an easy stars
5,little giant
4,nice little amp with a few annoyances
5,awesome effects and a great sound
4,plenty of power
5,new ac adaptor support v and v
5,quality and beauty
4,nice finished guitar
5,best deal going for the price
5,amazing sound for under
5,i love this guitar
5,love it
5,this case is it
4,awesome
5,purchased this along with the epiphone lp les paul guitar
5,great affordable guitar case
5,good quality case the fits my epi goldtop reissue
5,fits well and very durable
5,tight fit
5,love it
5,what you expect for a case
5,best home for my new guitar
5,very nice case
5,awesome case
5,works for me
5,perfect case for my les paul special
4,epiphone case
5,wow
5,great budget case for les paul style guitars
5,nice outer cover
5,very nice
2,bare minimum
5,great gigbag
5,fits epiphone les paul ii
4,fit my epiphone just fine
3,provides some protection
4,more for les
5,best momentary switch on the market
5,does what its supposed to
1,got this for my boss loop station
5,good
5,i bought this to work on my boss dynamic wah in the harmonizer mode
5,have a bunch of these
5,this will more than suffice
5,absolutly an amazing guitar for
4,this review is different
5,great guitar
5,wow
5,best bang for the money
5,good picks
5,great picks that work great on both acoustic and electric guitars
4,stiffer and brighter than tortex
5,great picks
5,these are the best picks on the market
4,its a pick
4,same material as jazz iii yellow
3,not bad picks
2,good picks but
5,best picks on phosphor bronze longlife strings
5,my new pickofchoice replacing the dunlop orange
5,pickin
5,great picks
5,works great for acoustics
5,great for cleaning acoustics
5,best polish period
5,great polish
4,great product
5,guitar polish
5,works great
5,love it to death
5,excellent product
3,not bad
5,best going
4,very good
5,great price best pads
5,auralex does it again
5,works great
3,they work
5,buy these mopads to protect yourself from audio bleeding
5,just foam pads but
5,these do the job
5,excellent product
5,an absolute necessity for your monitors
4,sound great but dont last long
5,my top choice for acoustic
5,great strings
5,martin acoustics
3,a lightweight contender
5,excellent strings
5,excellant bargain
5,these strings retain a good feeling for a long time
5,not a professional
5,they sound good
3,good strings for the money
5,strings live up to martin reputation
4,buy these they are really good
5,two words the best
5,the best
5,great srings
1,i feel like playing an active emg on my fender guitar
5,good but hard to play
5,perfect
5,what i expected
5,martin msp sp phosphor bronze acoustic guitar strings medium
5,favorite
4,good enough
5,love em
5,great for bass
5,nice picks
5,my fave med pick for strats
5,dunlop tortex
4,good picks
4,like bright color
5,review theyre picks
5,tortex picks are simply great
5,tortex picks
5,great price and good texture
5,cool
5,just right for rocking hard but not breaking strings
5,pick of the litter
5,good all rounder
5,great picks tortex delrin are the way to go
5,my favorite picks
5,great
5,blue tortex are the picsk to go with
5,my favorite picks
5,great picks
2,not the worst but close
5,great picks
5,very sturdy and easy to grip
5,picks
5,favorite pick
5,good picks
4,good picks mostly for the electrics
5,just about perfect
5,quality
5,great picks
5,always using these picks
5,if you need some good picks try these out
5,still the best
5,nice serviceable for guitar and bass
5,simply good
5,my favorite for over years
5,jackpot
5,only picks i use for playing acoustic strumming style play
5,fantastic pickslast forever
5,been using these for years
5,simple the best
5,dunlop picks are great
5,durable and dont slip whats not to love
4,these guitar picks are great if you have a guitarist that is in your family get him a pack or he will thank you
5,good guitar pick
5,love these picks
5,favorites
4,love the tortex
4,green
4,four stars
5,best picks
2,pointless
4,good picks
5,good picks
5,very thin but great for acoustic guitar strumming
5,best picks for songs with a lot of chord strumming
4,a good pick
4,nice picks
5,good for learning to strum
3,not the right feel
5,definitely like them
5,dunlops
5,best picks on earth flexible indestructable
5,my favorite pick for over years
5,i use these picks for standard chord strumming
5,just right
4,just what i was looking for
5,simply great picks
4,almost as good as snarling dogs picks but not quite
5,mm picks
4,great picks
5,helpful picks
5,thin picks by dunlop
5,very comfortable
5,perfect for strumming
5,dunlops rock
5,soft flexible thin pick great for playing acoustic quietly
4,great product
5,work well
5,the are last forever
5,just right for mountain dulcimers
5,i only use dunlops
5,just my size
5,mm is a perfect thickness for those looking to strum and occasionally pick
4,great for rhythm guitar
3,good picks with ok grips
5,play like porsche pick wouldnt fly away
5,seeking the holy grail of picks
5,picks are highly personal devices
4,very good picks
5,extra mellow sound a great pick
5,i bought gauges
5,the best thing ive tried so far
5,great pick
5,gator grip picks are my favorite and ive always used mm
5,very good product
4,good for strumming
3,gator grip
4,contextually perfect
4,love these pick
3,soso
4,worth a try
3,good bad
5,great pick for all types of rock playing
3,these are purple not black
4,very good sound with these picks worth a try
5,love these
3,stubby is right
3,small hard good for lead guitarists only
5,perfect picks for flatpicking
5,thick easy release hard to drop
5,amazing picks
5,love these
4,superb guitar picks but serious durability issues
5,my favorite
5,wow im amazed at the difference these make
1,to big
3,good pick not great
4,lexan stubby not the nylon ones
5,make sure you get the right pick
4,my long time favorite
5,this pick helped to improve the precision of my playing
5,cant use any other pick
5,dunlop jazz iii pick
5,never using another pick
5,give em some time youll like em
4,good dunlop jazz iii pick pack black stiffo mm
5,works great
5,the best picks for blues and metal
2,dunlop what have you done to these picks
5,smallsize picks for petite hands
5,best guitar picks out there
5,know what your getting
5,the only pick i use now
3,good just not for me
3,too small
5,great little jazz picks
5,a classic
4,of several picks that i use
5,solid secure to use
5,if you like small minimal picks check this out
5,good one
5,you cant beat a dunlop jazz when you want to improve technique
3,depends on what youre playing
3,nice pick but try the xl
3,ok but nothing special
4,much better than average
4,nice picks if youre looking for specific colors
3,strikes and gutters ups and downs
3,not what i would grab to play with
5,this is goldilockss pick
4,dunlop gel picks light
3,not sticky enough
4,convenient
5,simple and holds picks enough said
5,never be without a pick on stage
5,it works for me just fine thank you again jim dunlop
5,excelent
5,there when you need it
5,i love it
5,very cool to have
5,necessary
5,love this
5,cool product
5,awesome pick holder
5,very handy way to store picks
4,worksmost of the time
3,better than nothing
4,good purchase to keep your guitar protected
5,insurance against damage from dryness
3,nothing special
5,very easy to use nonmessy
5,no drip humidifier
3,ok
4,works fine much better than nothing
3,does the trick
5,does the job
2,its simple
3,planet waves humidifier
4,a good basic humidifier for round hole acoustic guitars
5,the only refill you need is distilled waterim in
5,easy to install
5,essential for any guitar player
4,as advertised
5,planet waves acoustic guitar humidifier
4,this is good for now
3,simple product kind of inconvenient
4,hydration station
4,okay maybe not
5,great stuff
4,easy to use but
5,yup it stays on reorder list
5,i have used for years
5,you cannot go wrong with ghs fast fret
4,i love this stuff
5,great product
5,fantastic
4,shouldnt have waited my whole life
4,very useful accessory for string instrumentalists
5,best stuff ever
4,glad i made the purchase
5,really makes a difference
5,essential for any guitar player
5,this stuff is great and a container lasts a really long time
5,very nice
5,revived dirty bass strings great product
5,good product
5,real smooth
1,not for serious players
5,works great i think
5,another use
3,meh
5,the best fretboard treatment i have ever used
3,good product idea could causes problems for some people
5,the best
5,use this to shread great for crackeddry finger tips
5,these will save you hide
4,alright
3,works not great
5,a must for a double kick
4,double bass pad works weel wont fall off
5,yea if you play double pedal you want these or similar
5,look good and work great
5,patch adams
4,its cool
5,very good love the red
5,awesome strap
5,perfect for me awesome strap
5,i love it
5,great for us big guys
5,at this price it is hard to beat
4,nothing fancy more than does the job
5,great guitar strap for the money
4,basic strap
5,simple easy long strap
5,the best strap money could buy
5,great strap affordable price
5,great strap at a very good price
4,call me the guitar man
5,basic strap
5,great inexpensive strap
5,just what i was looking for
5,long and short
5,awesome strap for an electric guitar
3,cheap
5,a basic guitar strap does what its designed to do
4,strap for the guitar
5,great strap
5,ernie ball strap
4,great strap
5,ernie ball gray polypro strap
5,great cheap strap
5,well made durable and simple
5,a long strap
3,regular
4,straps
5,rock band strap
5,great buy
5,good strap and inexpensive
5,my favorite strap by far
4,purple and red had a baby
5,excellent strap
2,its ok monotone
5,very good mic for band practice
5,clean as a marsh possum
4,a great lowcost mic
5,this microphone rocks
4,much better than my old mic
5,its so funky i can smell it
5,way better louder and clearer than i ever expected and it is so cute
5,this piggy is legendary
5,thoreau would love it
5,love the sound
5,muddy pig
5,i was skeptical at first
3,using pedals with it is a mixed bag
5,solid
4,great stand but the the counterweight could be heavier
5,sampson mb mini boom stand
5,great stand
4,good buy for the buck
5,great for those looking to mic up their guitar amp
5,perfect for bass drums and amps
5,great stand
5,sturdy stand at a great price
5,decent rosin for beginner
5,rosin
3,its ok
4,violin rosin
5,easy to use
5,works good once you learn the secret of using it for the first time
3,slippery and young
5,wow great strap
5,not too bad
1,i really do hate it
5,great long lasting
4,lighting bolt gibson strap
5,simple and to the point
5,for american sized pots
5,great replacement knobs
5,perfect gibson knobs
5,nice knobs
5,good purchase
5,gibson polish
5,omg all of the positive reviews are spot on best product out there look no further
5,the polish is great the packaging sucks
5,works great and a great price
5,safe on nitrocellulose
5,a work horse with transparent sound
4,clear mike my own spelling of microphone
5,cad m review
4,great audio quality but the front plate fell off after a month
5,excellent mic for the price esp for vocals
5,awesome mic for a great price
5,variable pattern low noise
5,great all round pick
5,pick some up
5,good pics
1,i had been using mm picks but needed teardrop picks for shredding
5,only picks ill ever use
5,you dont realize how much you need this pedal
4,tastier than fish n chips
4,a very nice eq
4,fish chips
5,five stars without hiss or hum
5,great eq
4,great pedal for the money
5,nice pedal great price
2,buzzy buz buzz
3,does its job
5,insanely good pedal
5,great eq for the price
4,good flexible eq
5,amazing value
5,seems good
5,better than heavy guage strings
4,nice ring a bit metalic
5,excellent choice for acoustic guitars custom light
5,great acoustic strings
5,great slinkys as always
4,good phosbronze set for acoustic
5,back up
4,said it before slinky is the way to go for the acoustic
5,good price and good quality
5,sounds like the strumming of a million hummingbirds
4,good set of acoustic guitar strings
4,good string for cheap guitars
5,ernia balls acoustic strings are terrific
5,great acoustic strings
4,slinkies are my goto
5,wow volume
5,average strings but great price
5,these felt silky compared to the strings that came with my guitar
5,a must have for all strat type electrics
5,ive been using these since
5,love fender strings
5,fender strings are great strings
5,pure nickel is where the tone is at
5,fender guitar strings
4,good tone last longer
5,nice for the price
5,fender strings on a fender guitar
4,good factory replacements
5,fender strings
5,my favorite acoustic strings
5,great step up strings
5,at last great strings
4,pretty happy with them
5,i always buy this
5,great strings
4,first time trying ernie ball strings
4,sound is lacking
5,great sounding on a string cigar box guitar
4,great sounding strings
2,i do not like them
4,okay
5,inexpensive and portable
3,good for what its worth
2,choose something else
1,terrible i wouldnt trust even a beater guitar on this stand no way forget it
5,fender mini electric guitar stand
5,cool but usually get squished
5,great electric guitar stand
1,great mount
5,great stand for its size
4,standup for guitars
5,good for fender stratocaster not good for les paul
5,good stand but not for a mini guitar
5,gotta have these
5,works great and easy to carry
5,fender mini guitar stand
5,amazing value
5,simple and functional
5,yup yup
5,fender once again delivers
4,pretty good little stand
5,there are many weird stands out there but this one works great and is a good price
5,oh i love this
5,great little stand
4,unobtrusive
5,great stand for a great price
5,this makes three
4,good mini stand to have
5,nice guitar stand
5,a guitar holder better than a napkin holder from your kitchen table
5,great little stand
5,love it
4,fender mini acoustic guitar stand
5,portable guitar stand
5,guitar stand
5,small convenient and effective
5,fender guitar stand
5,looks and works great
5,finally
5,great compact size
5,great design extreme portability
5,great slinkys
5,best strings for metal
5,hot cha power slinky bass
5,you cant go wrong with ernie ball strings
5,topquality fantastic feel
5,yeah um
4,useful multitool
5,does what it says
4,it just works
5,very usefulbut
4,it doesnt fit my bass guitar as well as i had hoped
4,love these
4,it works on my ukulele
4,houston we have windage
5,new and improved version
4,works well but not perfect
5,great tool for guitar owners
5,great tool
4,excellent multitool
4,bargain priced and works great
5,to minutes per guitar down to to minutes per guitar
4,great for guitar restringing
4,nice
5,it simply works
5,super practical
5,planet waves pro winder string winder and cutter works great
5,lost my old one
3,great idea
5,it definitely cuts the metal strings no problem
5,a real time aggravation and fatigue saver
4,better without the peg winder
5,best string multitool
5,genius design that should be in everyones guitar arsenal
5,handy tool to have
5,does exactly what is described
5,easy to use
5,fantastic tool
5,all you need
4,string cutter works pin puller not so much
5,cool
5,string winder a little squeaky
5,good value for a guitar tool and it comes with an unconditional guarantee
5,nice gadget
5,quality and design
5,very handy little gadget
5,well the string winder is good
5,neat tool
5,is a great product
5,i must have for anyone with a guitar
5,nice
5,great product for a great price
5,so useful
5,a gem
2,ok but
5,terrific allinone musthave tool for guitarists
5,a must have tool
5,the handiest tool a guitar player can have
4,not as sturdy as some but works as advertised
5,put one in your guitar case
5,strange contraption combines tools in one handy gadget
4,capable cutter
5,saves me tons of time and works perfectly
4,well made unit
4,cool
5,effective string winder
5,excellent string cutter
5,works wonders
5,nice tool
5,a handy gadget
5,practical
3,ehhh
4,does the job but winder squeaks
4,winder is a little tricky and takes some practice
5,this thing is awesome
4,pretty neat tool to have
5,great winder
5,planet waves pro winder
4,good to own but not a must
3,just ok
5,great invention
5,stars with total certain
5,consider it
4,pretty good
3,planet waves pro winder string winder and cutter
5,metal tough reliable
5,fast multi tool
4,works well and you can lose it
3,good tool
5,planet waves pro winder string winder and cutte
5,does its job
4,speeds up restring greatly
5,planet waves
5,works well
5,works well
5,rated high for a reason
4,great product
5,well worth it
5,handy tool to have around
5,super nice
4,does the job but sometimes slips off when turning
4,handy little gadget
5,awesome upgrade from the one without the clipper
2,disappointed
4,panet waves string winder and cutter
5,works as it should
5,it winds and cuts d
5,the perfect guitar tool
5,a must for changing strings in a hurry
5,so useful
5,a handy gadget to have arround
4,good allinone tool
5,wonderful product
5,time saver
5,great tool
2,as a string winder ok as a pin remover not so good
5,finally after years
5,a must have for any guitar player
5,convenient and useful
5,nice device
5,everyone needs this
2,hasnt made things any easier
3,good all rounder
3,good but not excellent
5,works well
3,its not too bad
4,so many questions so many questions
5,cool string winder
5,how have i lived without this
5,works great a little squeaky
3,hate the pushdown bottle heads
5,this cleaning kit is great
5,great system
5,good kit
5,get that guitar squeaky clean
4,makes it shine and reduces squeaks
4,the perfect allinone kit for your guitar
5,i like it it polishes waxes cleans and does just what its supposed to
5,you can buy this with your eyes close you wont regret the purchase
5,worth it
3,not necessary
5,all you need to keep your guitar clean
4,product works great but lost a star due to damage of the products package
5,super kit works very well
5,great product
5,plenty of stuff
5,dunlop delivers
5,excellent product
5,guitars never look so good
5,great value box set
5,nice
4,great kit for guitars
5,fantastic product
5,smooth operator makes fingers dance
5,the truth about this product
5,awesome cleaner rejuvenate your guitar
3,i guess this works but its kind of a pain to use
4,it works as advertised
4,fulfills a need
4,massive
4,ernie ball strings are great for the price
5,does the job nicely i use these for me guitar thats set
5,nice strings
3,great sound but fickle quality
3,hard on the fingertips
4,heavy
5,heavier gauge string for playing slide
5,my first choice in strings
4,good balance low action
5,great for metal
4,good for backups
3,ok strings
5,slinky rocks
4,beware guitars with floating bridges
4,heavy retro sound
4,despite what the pack says you can tune these to e
5,ended up being to big for me
5,best strings ever
5,great guitar strings
5,great strings
4,id probably buy these again
5,elixirs have become our standard
5,elixir strings acoustic guitar strings string light polyweb coating
3,take good care of your strings and they will last longer
5,longest lasting strings
4,it depends
5,great
5,guitar strings
4,elixir guitar strings
5,flexible feels good
4,excellent but takes some getting used to
5,nice strap
5,nice strap
5,good strap well made comfortable
5,great strap
5,exactly what i was expecting
5,just bought my nd one
4,amazing strings have them on all my guitars
5,a minor mishap averted thanks to the kind seller
5,the more you play the better they sound
5,worth evry penny
5,the best guitar strings
5,sweaty fingers
