rating,review
4,i am using it for days now the experience is pretty good as of now picture quality is also not bad dont expect something out of the world at this price point but you can go for it if you have a tight budgetinitial impressions works as said glad i didnt go for cheaper options not that its too costly just plug and play will update if it screws upthe hdmi cable is good to watch moviesports and its gives better quality while connecting your laptop with tv and play i loved itworks as expected length of the cable is short and it was mentioned also satisfied my requirement if you need more length better look other optionsall goodits the best hdmi cable at this price range no problems yet just go for it i was expecting this to be delivered on time and it was delivered on timeproduct is good as i have tried other cables and wires from amazon basica brandgood one
4,definitely isnt as good as the original cord but works fast charging and pretty sturdyworth itso i had a faulty cable i was lazy and have a lot of money so instead of calling apple i bought this for like bucks didnt expected much but for my surprise this cable actually works and has fast charging just go for itfelt quite sturdy the connectors look premium and were easy to insert i used this cable to switch all my data from iphone to an ms cable worked like charm while using smart switch app all my data including whatsapp data was transferred successfully satisfied with performancejust goodquality is very goodworking smoothly using same portronics pd chargerthis is a real fast charging cable that is serving the purposevery good
4,loosing charging cable of apple is costly affair this wire was great purchase made to correct itworked well for six months thats it now its stopped working now planning to buy one more because the price has come down to very good product compatible with ipad nd generation and charging very well quality of the product is very good and also works fine totally worth for its priceproduct is superim using from last month till now it was good functioning now i noticed phone gets disconnected at multiple occasions might be cable may be damagedoverall worked well for monthtakes hours to charge fullgood item valueit is the best product i have used till now
4,i like it best charging power i used this cable on note pro mi using month also fast working might be a little expensive but physically its so good feels premium but power limitation is there it is not suitable for fast charging data cable charging fastvery good quality and good durabilityoverall good but need some improvement
4,pros xiomi a is best in budgetnice picture qualityvery nice audio output full of featurecons sometimes tv lagssometimes stucksin this prize range all tv having cons like thisoverall nice tvthe product in this price range is good but as it is running in android it lags i hope after few updates the lags problem will be resolveduseless product and useless quality display issues within months and service center is not upto the mark go for better brands where quality is assured i would wish if there was option of negative starsuses as connectes tv the picture is very good i was hopping a best level of song globaly it is a good product then evergood qualitygood
4,check for offera before buyingw charging cableawesome cablecharging data transfer and durability is simply awesome and there is not a single disconnection issue which i always faced in original mi cable from box bought more time as last cable damaged when phone fell on usb cable port as my phone is heavy and i never faced any issues so i bought one more time and didnt went for replacement as its waste of time and energy i also have boat earphones that is also awesomegoodcharging is very slow forget about fast charging not useful at allcable is not fit properly on my samsung galaxy m type c port if little hit happens then cable is plug it out otherwise length and cable quality is very niceboat type c cable doesnt support fast charging on oppo f earlier i was using vooc cable which worked excellent
4,lg was always good correct delivery good service but sound quality was poor the speakers were fitted below the tv no clear sound that was the only problemgood videogood vicepicture quality is awesomegood at that priceokay product the os has lags after about a year of use this is the best you can get for the price tag it comes withi like itbest one when it comes to bugdet easy installation and handy featuresgood
4,i trust this product works well with car playvery good quality and charging is fine as good as originalbuild quality is awesome best lightening cable ever seen better than a official lightening from if ur looking for a cable close your eyes and go for it or you can buy a amazon basics one i was using that for past years that a bit a cheaper side i recommend both these cables had better build quality and value for moneygr product overalljust loved it very good charging speedgood qualityit well packed all sealed coveredthe wire looks of a very good qualityrecommended
3,this connector has provided as a boon for my old samsung lcd monitor and i am proactively using that monitor as the nd screen just if the finishing of the product can be improved then it would be a better purchase optionsave it purpose well without any issue i am satisfiedworking finego for itits works properly good product but poor qualityi buy this product after so many reviews this product is not so much clear but it get the job done you can buy to get display only not so much clear but still price is very good compare to other productsgoodit worked really well for months but now it started showing its cheap chinese side display keeps disconnecting randomly and will come back its a headache to readwork on external monitor now since it keeps disconnecting the external monitor and then reconnects it
4,overall goodtv picture ok smart bettersound very low another brandservice provider refuse install my tv bad service and samsung i am calling times service provider not meet my home addresswhy bad badthey product did not come with the support stand or wall hanging hook to install the tvpicture quality is very poor in cablesfloor stand does not come with it you have to buy it seperately request amazon to cleary mention it in the add you will have to pay seperate charges for the installation guy to buy the floor mount good
4,worked on iphone and didnt work on iphone xr i didnt like it still i use it for my workproduct is quite good and is fast chargingloved iti like it looks last longthe sturdiness will depend on the manner of its use but its speed of charging is great very good product for the average income groupits great for charging devices with various types of ports but works best when charging one device at a timegood item
4,about the tv wonderfulprobably the best tv in this price range inrgood google interface loaded with features lightweight watt power consumption stable designaverage sound and picture quality is quite good but if you compare it with premium brands then obviously not that goodfeatures most of the streaming apps available and compatible you can connect with wifi lan cable hdmi set top box laptop usb gaming console old dish cable and direct tv antenna as well built in chromecast to cast any compatible app directly from phone to tv over same wifi networkways to connect phone via cast feature on mobile apps no password needed only need to be on the same wifi network via chromecast app project only selected media pics videos or entire phone screenways to connect pclaptop windows cast option project the entire laptop screen on tv using windows cast option need to be connected on same wifi network via hdmi cableabout the amazon installation service awful the technician brought a cheap hanging hook that had mrp inr on it and asked for inr for it without any receipt he kept telling that it was not for sale and company had sent this specially however it clearly had mrp mentioned on it i went to market and bought a much better cabinet for just inr and for installation of that as well technician was really adamant to drill the two required holes on top he just drilled one on top and one on bottom and kept all the other spare screws which i had bought with him after about half an hour of arguments he finally drilled the other required holes and for all this he kept cussing me that i wasted his time there was no assistance from the person who represented the service agency as wellthis whole process took me two hours to complete that too with lots of arguments this was the worst installation experience in my life so farbottomline please do not avail the so called free installation service from amazon it is just a scam instead call the acer support they will do the job much betterafter using it for months here are its pros and conspros great picture quality its awesome blacks are very good and is adjustable sound with db is very good looks great with thin besel remote comes with favorite ott buttons content upscaling is very goodcons remote could have been better cant use dth remote to turn on both televisison and set top box remote operation is bit complex motion technology not great there is a noticeable blur when watching moving ballson ott but it decreases when you switch to dthoverall its a nice buy at this price point i think i am getting fairly better picture quality and sound i am satisfied with the productproduct has good picture quality good product at that price with w sound applications running smoothly months older no issues yet its running smoothlyyou get decent features for the price you pay screen resolution might be set back as you may find pixalation overall its goodi am amazed with the picture quality of this p hd ready tv it is truly an amazing panel i found it suitable for a viewing distance of between to feet any nearer it may not look very crisp and any farther it will feel like a very small size the speakers are also very good for the price and can get very loud without any distortions however since the speaker is downward firing the experience will vary based on whether the tv is wall mounted or kept on a standthe remote is good voice search works well for me tv start up takes a long time in my opinion but i have not compared it against any other inch tv and hence do not know where it stands among peers ghz wifi works very well even across walls only negative aspect i faced is wrt the experience of using my bluetooth headphonesearphones firstly the connection sometimes doesnt happen automatically after a restart which means i have to remove and rediscover the device thru the menu which is not simple secondly the signal itself seems to be very weak and even at a distance of feet in front of the tv the signal breaks even if you move your head by incheshowever i am still super happy with this tv i got it for k during the launch offer and it is totally worth it and is recommended from my sideat this price rangeit is good quality product on this marketacer only should work with sound quality improvement otherwise all okpicture quality really impressivewifi connectivity goodeasy to installboderless screen design is premium and also google voice support is goodsometimes laggingno major issues found on this tvjust go for itvellu for money good productvery nice productsave money
4,the signal is too unstable once connect you need a bit of adjustment by unplugging or moving the wire to get a proper signal but does the job go for this if you want to experiment with hdmi as i wasnt sure it would work for me or not otherwise go for a good quality breaded cablegood productthe cable did not come in a box there is no box if this was to be shipped without any packaging or branding same should have been mentioned when we pay for hi quality products we expect a certain quality i still have no idea if this is a hi speed k cable or notgoodbought to connect my cp monitor cctv to mi android tv ok quality at this pricei give it a on reasons as below amazon delivery super fast same day delivery within hours the delivery person was good robust built quality looks feels premium it is working excellent im using for lapptop to big screen tv connectivity and could see the undistorted picture and sound nicely doing its worka few words of cons feels a little hard to adjust and bend as per requirement less flexible but this may not be a serious concernoverall a nice experience so fargood joblike
4,this oneplus tv is great if you want a affordable and middle range features tv i got it in the offer and it was totally worth itpros sound is awesome satisfied with the quality of sound dolby audio w speakers are really great for sure affordable tv size and slim it is slim and looks stylish very light weight and handy to install easy to install and mount to wall tye software installation and set up is very easy and anyone can do it at home it gets integrated with mobile apps remote wifi networks very quickly and easily the overall sign up process and app installations are quick and automatic it supports all the smart features like netflix prime and youtube it is easily installable and signin to start using quickly it is also easy to scan the setup box channels and start viewing themcons picture quality is p its average and not very clear but it is worth the price range ill not complaint as the cost of tv is very affordable and this quality is justified bluetooth and wifi connection can disconnect sometimes and cause some issues i encountered this disconnect issue and had to reset complete device and do the complete sign up againrest all is very good and loved this product i feel it was worth ordering if you are looking something is medium range and only need it for your old parents and dont have extensive smart use then go for thisif you want to use a lot of smart features and ott platforms and watch movies and sports then go for better version with full hd and k quality this tv will not give good experience for sports due to less picture quality but its very good for daily family shows and tv channelsone last thing i want to express and im ver disappointed about is thisi got my order delivered on friday and i scheduled my installation for saturday but nobody turned up that day and i had to reschedule it for tuesday morning and even today nobody turned up i got a call from amazon to reschedule it for tuesday evening and still nobody turned upthis is very very bad and irresponsible service by oneplus and amazon im very disappointed with the service and highly criticize this behavior a company should always take care of its customer satisfaction and you have failed in doing thiswhat do you guys expect us to do wait for to days to get my tv installed even when its been delivered and wait for you guys to come after so many days even when im having my smart tv delivered to my home i have to wait and not enjoy it because you guys have not done your job properlyat least keep some decency and respect the customers who are paying a big amount and ordering a big item from your company you should take care that the money i spent has been worth it and not facing any issues highly disappointed with this behavior and servicegood productconnectivity is fasterbut performance is little bit slowerthe biggest problem i face is it dont have a aux cable so im not able to connect my sound barthe hdmi port is useless it wont work soi connect it via bluetooth but the problem is that it wont connect automatically everytime i on the tv i need to connect it manually its a basic feature which is not provided in this tv then another drawback is that it was fast at the beginning now its been months and its super laggy even after the update its just the sameyeaa but in this price range the picture quality is outstandingthats allgood quality in picture and volume is little bit low other than that product is nice budget friendly im happy with this after a few days the tv will perform slowly and the remote is very very sentencethank you amazon and oneplus sound is good easy installation very slim and less weight voice recognition is goodlikebudgetfriendlydislikewifi connectivity range is poormany times gets disconnectedcolor depth not that good
4,the product seems and works good but its not a fast charging cable as it has to be and when all the three ports are connected its more slower im charging only good is single cable all three ports are there so its a ok product only if yiu are looking for fast charging then i would say think twice before you buyi have been using foe a while now this is for sure not a fast charging cable and in this tge lightning charger is not working properly every now and then i have to check its it charging my iphone and i had to unplug and reply for charging its getting disconnected i dont understand how so this cable is no oki used this type c most commonly depending on my devices power wats and also etcnice chargercharging is bit slow when u connect multiple devicescannot transfer dataonly charging purposeso nice colour cheap and bestthe cable looks decent with charging but not fit for me as it does not support apple car play
4,fast chargingcable seems to be of good quality not used much as i keep it as backup in my carits good sturdy durableit supports fast chargingonly thing is its a little expensivenice producti am writing this review after days usage of this product and i found it very durable and sturdy it is also good for travelling where you have to keep it in the bags without any kind of box i would recommend it to allbest wire type c to lighting connector go buy worth of moneyvalue for moneyi am happy with product quality is good durable
4,one amazing cable for bucksok with charging looks very sturdy and durablefast charging upto watts m in length and really durablebought it like the th time passed down my older cables to family members all still in working statei bought it in and it almost last three years post heavy usage gonna buy it again very good qualitygood quality usb c charging cable that enables fast charging for samsung m as well as m g w seeking phones metre cable length helpful in keeping phone on desk while charging adaptor plugged into electric outlet best value similar m cable costs x or x in retail market this is best pricegreat product wanted this as my portable battery has usb slot and ipad and kindle reader have usbc ports fits my requirement perfectly charges very fastgoodvery good overall
4,sufficient lengthexcellent build quality good alternative to generic cablesstrong cable the cable ends are nearly like rubber gold coated cable is also of high thicknesswhy i bought this i have dvr rack for dvr which is far above the reach limit hence i need a mouse to be connected to the usb port of the dvr which is in the rack above reachany alternativeswireless mouse didnt work well with my particular dvr had lots of lag hence i had to resort to a usb port extender with ample lengthresult very sturdy cable able to connect to my dvr and connection is stable amazon basics is very reliablethis cable is good for any device that needs extension over usb like printers tvs gaming consoles keyboards etcthe build quality is good cable material is soft so it will not break connectors are gold plated and will not rustbut remember this cable will not give usb speeds even if you connect it to a usb portfor usb any usb if used will behave as usb type adirection female to malefunction extension of length of usbbuilt average not clothfibre braiderlength as mentionedworks for all connections yes including pcprinterconsole pen drive etc product is as per descriptiongood as expected
4,the cable build quality is good for normal charging its great cable but doesnt support quick chargingworks for charging but other applications are hit or missexample my external keyboard doesnt work with itbest quality and length of wire was qute good and durability also good the cable is awesome and no charging issue till now because it is a braided cable chance of it damage are very less overall i like the product using this cable from past days to charge lg gthinq and samsung sfe so far supergoodseems durable but there is a problem with the design that the pin is not long enough base of the pin is too thick that i couldnt insert it into my phones charging port without removing the caseover all quality bht achhi hai bs jo braided material use hua hai wo nylon nhi hai cotton type ka hai lekin me m cable k hisaab se bht achhi hai majboot hai or charging bhi thik hai maine chapti wali buy ki thi jo photo me dikh rhi hai lekin delever ye gol wali hui jo ki jada better look deti hai agar me mile to mt lena utne layak nhi hai
4,not charging as fast as id have expected maybe something wrong with my unit however the cable overall is actually pretty decent the material is great it doesnt bend out of shape very easily and looks and feels premium the length is definitely a plusgooda sturdy cable for mobile chargingits been month that i am using this charging cable works very well with s fe g thumbs upbraided cable is sturdy and built well long cable adds extra reach and is tangle freea good buy the extra length helps a lotgood productok
4,buy itreceived in good condition and is working properlythis price cabil not good and also shorti am using from months and charging the phone in good way and its really value for money i recommend this cable cable is perfect for a charging devices support super fast charging and can be used in vehicle chargers and adapters sturdy and durable for daily usebest cable i have ever used by amazon worth it guys just take itgood qualitybut over priced
3,its a good data cable and i recommend it to purchasethe only issue was the metal pin is not fixed firmly so it has become looseotherwise no issuemust purchase cable which is sturdy its not a fast charging cable but the three outlets does the jobgood sturdy micro usb cable with good charging speeds please dont raise pricesnice product a simpla microusb cablebest for this pricegood one
3,its a good productlikevery good item strong and useful usb cablevalue for moneythanks to amazon and producer product and useful productsturdy but does not support w charging
4,good budget mfi certified lightly cable for this price update usage review after to months better than the original one in matter of robustness and durability better in prospect of charging it is far better in durability from the original apple wire do not think more you can buy blindly worth to buy and it is mfi certified so you ios device not damaged but small negative point is packaging quality of the productthe charger is a great carry on accessory while travelling without risking the original chargerprice is also very affordable and charging speed is very good with good adaptor or power bankgood product can recommend all only thing i see as issue is the material the cable threads peels off when stick to a velcro materials other wise good product charges very well like originalnicereliable and worth itthe cable shipped in box made by apple felt less sturdy and reliable after using one or two times and felt it would break more quickly at the lighting port and had to order amazon basics cable which is miles better and apple mifi certified
4,it does the job really well no complaints regarding the charging power at a price of rs it is worth every buck although this cable is a bit shorter than the original one but the original oneplus cable is around rs so there is a huge price difference and it does the same job as the original oneuseful for c type charging but not suitable with all adapters or usb points serves the purposesturdily built does its job well charged my samsung galaxy m quicker than the original cable hope it stays the same going aheadliked the charging speed disliked the length on ipads this is awesome but its is not foot long so this the only point to think otherwise it is the best cablegoodeverything is good including connectivity and stuffnice productim using this for my carthis product is nice and worth the amounti recommend it to anyone who are looking for this kind of cable
4,i am posting this after a few weeks of using the productusage continuous ott only no cabledish operatoraverage daily usage hoursthe tv is a great valueformoney productinstallation the installation was simple and amazon assisted installation was smooth timely and hasslefreepicture the picture quality is not great when compared with the smoothness of a sony lg and samsung with these kind of specs movies and especially hires tv series experience was somewhat diluted as most of the times the output while in hires wouldnt look like a movie quality which we are used to of watching in the likes of sony samsung lg etc however with time you get used to it and only realize the difference when you see the same movie at someone elses better tvsound sound output is decent you wouldnt need additional support to enhance the volume as suchremote sleek sensitive and userfriendly its exactly like amazons remoteos same as any smart android tv works smoothly without much lags or hiccups switching apps from one to another takes a a couple of seconds more than sony but unless you have used to of those performances it looks just finestandalone and as your first smart tv you wouldnt find any reasons to not like the quality and it would like hires from the beginning it is a great value for money product without a doubthowever if you are considering this as an alternative or second tv after owning the better ones in the past you will have a hard time adjusting with itpicture quality is good for this price didnt faced any lag on ui and browsing other apps only negative will be audio definitely need a sound bar if u are a frequent movie watcher overall worth for money u spend but the installation process is just awful amazon claiming that a trained professional will visit for installation but neither they are trained nor professionals just read the installation manuals and installed the wall mount which took hours for them to buy the wall mount after charging money no demo given on tv as they have no idea about the product these things making to think twice or thrice to buy a tv through onlinescreen looks amazing but problem is with processor i believe if k content is getting streamed on device then we can observe the green screen flickersnot so often but problem exists even remote control is not good as it take at least sec to react for the user actionreason why i believe processor is bad because i do k gaming using ps and never encountered problem with the screenif you buy tv in a small town shop it will be delivered and installed immediately within couple of hours when you want to buy a tv from amazon you need to wait for it to be delivered for couple of days and it is understandable the problem is with the installation they take so much time to install that you end up regretting buying the product its like you are hungry and food is in front of you but you cant eat so i ordered my tv on monday it got delivered on friday and it will be installed on monday because of weekend where as there is no concept of weekend in small towns if we had the technician details we could reach out s get it installed but that also will be shared hours beforeregarding product its good quality and very good for a average user heavy duty like games and continuous usage on some store will be challenging i guessthis tv gives good results within the budget should definitely buy if the budget is k but most important point like to mention is after sales service and also the installation part the installation guy didnt arrive at very first day that was scheduled even after rescheduling he didnt came for installation purpose so strictly be aware of this point the tv i got in offer with k discount on icici card but although the product came out defective it had dead pixel on the display which is very bad after period of time even after the fault was from seller as it was defective piece i didnt got the replacement for the product and its totally unfair deal by amazon and the seller toofinal verdict is the tv quality and feature are good but the service from seller and amazon that is got was very poor inspite i was prime member the seller dawntech electronics private limited gives very poor service and feel bad that in such cases amazon will not help you thankyouteamalso to be added tv installation services with product while delivering and unboxing no need to other subvendor to getting installation and demo also dependency on thirdparty involvement should be lessbad experience with tv installation stuffpls look into this picture quality good sound quality not upto my xpectations not able to find the real dolby stereo effect remote not upto the mark for picture quality for both sound and remote qualitygood quality picture but it hangs on home screen
4,same type is available in half prize other make on amazoncable is good and well built it supports all sort of charging protocols but samsung galaxy s ultra seems to have some issues it falls back to slower charging after a second or two of ultra fast charging when plugged in it works fine with other devices just finequality of yhe cable is good my cable is not working after months duracell team is very responsive they replaced the item immediately service is good but only one problem is thickness of the pin must be improvedthe product is upto my expectations worth the price braiding is really good i may not have the need to buy another cable againworth buying this cable very durableits very tough material and very much durable toosuper fast charginglong lasting due to sturdiness strong build qualityabsolute value for money productplus yrs warrantysometime bit difficult to fold the cable due to its sturdy build but its ok looking at its edgejust go for ita real value for moneyvery sturdy but over priced
4,using it and satisfactoryworking good also not so expensiveusing this for an audio transition from yamaha mgxu sound mixer to the laptop for live purpose excellent qualitybought it before one and a half month works well satisfiedgood quality and cheap pricegreat for the price works with my usb mic fantastically well just i find the usb b side is a bit loose when compared to my original oem cables i have ordered several pairs but all are same at least for my mic but its not too loose to be called unusableworks with my casio ctx well
