review,rating
they are too much into their culture neither they speak proper english nor they have any indian food available even when the flight departed from delhi not even any bakery item or readymade food or any packed item is available this even applies to nonvegetarians also the worst thing was that they dont converse in english they speak only japnese language the inflight entertainment tv is also playing japnese items a very few old english movies forget about any hindi indian movies or shows being in the business class we suffered a lot i cant imagine the condition of economy class passengers i will highly recommend that if you are travelling to japan then please take indian airlines complete no no no to japan airlines,1
on th sept i took the jl flight from hong kong international airport tokyo narita international airport i was so impressed by the highly outstanding and professional customer service provided by the team particularly the cabin crews they were very polite i can truely feel the sincerity from the cabin crews particularly those i interacted with onetoone most frequently with including the cantonesespeaking cabin crew that i also met on my return flight on th sept jl thank you so much japan airline cabin crew team i wish the team all the best a fulfilling and happy career life,5
flew on jals from heathrow to haneda in july i arrived at the airport and had a bit of a wait until the check desks opened but once they opened check in was quick and i was soon on my way to the lounge jal direct you to the ba lounge in terminal but as they are a oneworld member you can you any of the oneworld lounges including the cathay which is probably the best and the qantas lounge which is a close second and the aa lounge which is a distant last if they re open which they all were for my flight which departed at pm my flight left about minutes late but arrived about minutes early which to me is an on tome flight the service onboard was fine but like previous jal flights i dont think the staff feel that confident when dealing with english speaking passengers but all the staff were great the meals were all nice as was the midflight ice cream which for a change on a flight wasnt rock hard i am not a huge fan of their business class seat as while it is very private it does lack storage but is comfortable and i did get some sleep on the hour flight the ife when compared to emirates lacks a lot of choice but was ok but i thought the amenity kit was a bit on the lacking side with no lip balm or moisturizer but it did come with a handy stand for your mobile phone overall an enjoyable and on time flight and i would fly them again plus they have a very generous luggage allowance which is helpful after a few months away,4
i would like to express my sincere gratitude to the jals registration and flight service team of the flight jl tokyo haneda to helsinki finland on sep to my surprise my seat was upgraded from economy to premium economy just before arrival at the counter desk some minutes before boarding the flight was smooth and the flight service team did excellent job,5
the customer service is trash like just look at other reviews and they are rightflight itself was fine i guess bt next time i think ill book ana instead overall basically just like american airlines but a little bit better,3
worst air company experience ive ever had in my life they cancelled my flight and said they would get in contact with me to rearrange the flights which never happened when i called back and asked what happened they said they would return with options and guess what that never happened as well what happened if that they changed my flight and asked me to accept or decline in their website which guess what doesnt work im not able to see or manage my bookings its like theyre stuck on the s the worst air company website ive seen in my life you cant do anything there except to buy tickets i suppose if you have any problem with your booking dont expect to be able to solve it through the website its useless want a refund youll get it but take your chair and wait for a good months for the money to be back in your account dont have money to buy replacement tickets thats your problem i suppose all in all i havent even started my trip to japan and japan airlines has managed to make everything stressful and troublesome thanks japan airlines,1
flights are good but the worst website app and customer service in the entire travel industry and thats really saying something not remotely possible to find your booking on the app or online the chatbot is laughable customer service not available on weekends what you simply cant access your reservation period we will see if anyone actually answers the phone at any point sure any product is unless you have a problem then you find out what the corporation is really like,1
had booked a flight to japan with transfer in finland in finland the flight got cancelled and we sat there waiting for six hours before we got the final call about the flight being cancelled they mainly gave the messages in japanese and didnt seem to care too much about notifying the other passengers in english they also gave snacks and drinks to everyone else waiting but not to us probably because we were not japanese our trip was delayed two days but they gave us accommodation and euros for food those days on the plane they could also have been better at bringing drinks during a hour flight in this time we only got offered drinks about two times other than when we got food other airlines are a lot better at this the worst part of this whole case is the requesting of compensation since we are under the passengers rights regulated by ec we are eligible for compensation for this two days delay you cannot reach them by email you have to call they will make you wait for hours before they pick up the phone and their phone line is terrible so you cant even hear what they say this combined with poorly english makes this whole situation quite frustrating its doesnt even seem like they know the rules so they keep putting you on hold declining our rights or avoid giving answers ive never experienced this poor service its probably a good airline when everythings goes according to plan and when you dont have to reach them though,1
i had a fantastic experience flying with japan airlines jal the staff were courteous the seats were comfortable and the inflight service was exceptional for any assistance you can reach their tollfree number at or visit their office tokyo highly recommend japan airlines for a pleasant journey,5
the best flight i ever had the seat was comfortable food was decent the flight attendants are friendly the aircraft was very clean great airline,5
i am deeply unsatisfied with the service provided to me by jal for a flight change my family has been faithfully flying jal since the late s and have always used jal for trips to japan to see family in the future this will not be the case we intend to fly on one of their competitors that also offer non stop flights and far more reasonable pricing and that does not charge exorbitant prices for a change in flight plans the cost quoted to me to change the first leg of my round trip airfare is more than the original round trip airfare this makes no sense the flight i wanted to change to has many empty seats and will most likely have empty seats when it departs jal needs to examine the level of service it is providing it would be cheaper for me to walk away from my original booking and book a new round trip travel additionally my daughter and wife recently traveled to japan and the food they were served on that flight was abysmal jal had been riding on old positive reviews and ratings from its customers the jal of today is not the jal of previous times and one other thing the website and the app are both absolutely abysmal neither of them perform well and the website does not allow you to search fir a round trip airfare now,1
they scratched my luggage really bad with two big dents when i talked to their cs at the airport they just showed the careless attitude by pointing to a board and told me thats a small scratch they never say a sorry to me in the whole conversation unbelievable careless,1
this is the second time i flown on jal last time was from hk to narita this time my flight wasnt delayed just an hour by a freaking ine and half hour i am writing this review on ground as i cant get on plane yet but i hope it is the same experience as last time which was amazing only stars thi still bad duh when im home its gonna be am or am,2
if you are travelling with a baby avoid jal at all costs unlike other airlines jal has this bizarre practice of allowing only one adult per baby to sit at bassinet seats this means you will be separated from the rest of the family on the plane and have to sit alone with the baby call centres or service counter refused to let my mother sit next to me to help me with the baby i had two empty bassinet seats next to me and still they refused to let my mother sit next to me to help me also for some bizarre reason i was not able to book the bassinet seats when i purchased the tickets so had to rely on call centre and service counter do not trust the message on their website that says priority will be given to passenger with baby they literally mean passenger in the singular form,1
japan airlines inflight service stands head and shoulders above any us based carrier we had problems with my inflight display and the flight attendants went out of their way to fix the issue they were also extremely apologetic the seat is amazing k and the interior noise level was very low you didnt have to yell to be heard,5
i love how they gave a menu for food and how tasty the food was the drinks were really good too i like how they have the latest movies and shows for entertainment,5
i was so excited about my next trip to visit japan and this made me dread ever coming back to the country i arrived hours early as i had a medical letter to get an upgrade hours later i had no upgrade missed my flight and they want me to pay for changing my flight they need to fix their customer service i got bounced around to so many agents only to be told there is nothing to be done and i missed my flight worst flying experience in my life,1
im never flying japan airlines again my new york to tokyo flight was torture with american airlines operated by jal no headphones for entertainment for hr flight food was so so bad now theyre telling me my flight from tokyo to manila that my assigned seat doesnt have entertainment a total of hrs flying time staring at nothing,1
worst customer service ever called them to ask if i can appeal for my nonrefundable ticket to get a full refund due to visa complications they said to submit a refund form and they will get back to me submitted the refund form like they asked and they proceeded to cancel the ticket with no refund i emailed them to say that i did not want my ticket to be cancelled if i cannot get a full refund and they told me that theres nothing they can do because the cancellation has been processed so now i am left with no ticket and no refund,1
whenever you wanna travel japan this airlane is in my humble opinion your best option their staff is kind and the amenities on the service make it worth it i have traveled times and the last two of them where on this airlane every single time we had a great time all the service was incredible and we had no problems at all,5
a year dream come true in september i am going to japan i am chef by trade and worked years ago in the hotel nikko a jal owned hotel in düsseldorf i learned a bit about the japanese culture being friendly with the japanese chefs had a brush of japanese cuisine this experience actually gave me the urge to travel which i actually did i worked in israel saudi arabia china hong kong and indonesia but never made it to japan i am really looking forward to experience a one in a lifetime experience jal business class,5
friendly staff ok food interior of the airplane looks nice the entertainment system barely has english subtitles which is inconvenient because of all the engine noise in economy class english spoken movies are not always easy to follow however we had booking months ahead with family but they did not give us seats next to each other they sell the window seats for extra money so only people can sit together as result dad was sitting rows behind the rest of the family and they were not willing to change it because window seats are paid tried to change it upfront by phone by the seat reservation system in the airport and onboard no luck very sad daughter was crying for an hour weve seen other families being spread over the economy class as well so we were not the only ones so i would not recommend flying with them if you expect the free seats from bookingfamily to always end up next to each other,3
jal is always late they start boarding minutes to the scheduled flight and they end up delaying the flight pilots have chance to make up the lost time in flight but they choose not to upon arriving they apologize for the delays with excuses such as winds heavy airport trafic etc but these are not true assume about hour delay if you fly with jal domestic,2
we flew from bangkok to tokyo and to dallas in july the ground officer at bkk was nice and helpful the air hostesses were helpful for getting medication for my wife the food was delicious the airplane was nice and clean the movies were good,5
this is the first time my wife and i have travelled with jal business class and having got a great deal for travel to the uk we decided to tryout their premium service firstly i want to stress that the cabin staff are absolutely brilliant and although their english is average they do their very best to communicate with you the seats across each row in business is in my opinion too many the seats are only slightly larger than premium economy and as a flat bed turning from side to side is difficult their pricing makes them an ideal choice for value seekers but if you are looking for a true business class experience then perhaps singapore would be far better if a lot more expensive the food on the flights was good especially the steak but the selection was only average lastly the entertainment available to english speaking customers is very poor and well below that of comparable airlines i would recommend them for value and customer service but lacking in the refinements of some of their competitors,3
jal has long passed its peak as a business guest i had to accept a downgrade to economy on a feeder flight i then had to spend hours at the counter in tokyo i had to spend the night in front of the counter the employees were incompetent and just kept apologising i was not given any compensation on the alternative flight then in business the tv did not work i was brought the wrong menu the crew only realised this when the things i had ordered were not available there was no apology all in all i have never been so disappointed with a flight and an airline jals staff are friendly but incompetent in exceptional situations,1
after experiencing a six hour layover my scheduled flight was delayed eight more hours due to mechanical issues they said they could not put me on another flight will not use this airline again,1
i chose japan airlines to take my daughter to school in australia rather than opt for a shorter trip as i read the seats reclined more than most this was true and in addition to very comfy seats the staff and food were outstanding i also managed to get us an upgrade to business class on one leg of our journey and the lie flat seats were something special we were on a newer aircraft from jfk to tokyo and it felt like first class i will def be flying with japan airlines again,5
flew jal years ago and remember it was fine this time around i can see airline has really gone downhill first on the flight to japan our seats were changed without notice i wanted an aisle seat so this was disappointing on the flight the left side bathrooms werent working so only the set on the right could be used the toilet seats also looked like they havent been changed in a long time given how clean the public bathrooms are in japan the fact that the airlines toilets were old and nasty is gross for flight back home minutes before scheduled boarding received notice of a hour delay due to aircraft rotation what the heck does that even mean and if that was the case why not notify us earlier so we could have spent more time in tokyo instead of at the airport i really very disappointed in jal will fly ana next time,1
flew first class on boeing from haneda to chicago overall great experience with hard and soft product lounge at airport amazing as well not much to fault and expectations were met given first class service with a japanese carrier pros amazing multicourse meals and food selection which would give top restaurants a run for their money same with alcohol great amenity kit unbeatable service from checkin at airport to staff on board royal treatment at every and any point in your journey where jal is in charge and has control cons seats show signs of wear and tear given their age also when it comes to style privacy and ergonomics jal seats in first falling behind the times when compared to newer first class seats with other airlines however jal a have newer seats tv monitors on board are not of highest resolution behind when it comes to its competitors bathrooms are nothing special and fall behind competitor first class offerings overall great experience highly recommended,5
the inflight experience was mostly enjoyable with friendly staff and good food and beverage options the premium economy is pretty comfortable for longhaul flights the inflight entertainment had some great selections but i was somewhat disappointed the volume of movies and shows to select from the biggest disappointment came in japan airlines handling of my personal items one of my larger bags was severely damaged during travel to the point that my large suitcase is no longer functional the handle was crushed and no longer extendssee photos when i submitted a claim i was only offered a reimbursement for a suitcase worth close to not to mention the cost of the airline ticket for premium economy the handling of this situation will directly impact my thinking around future flight purchases with ja,3
i wanted to cancel my flight because my wife is pregnant and i want to be there for the birth after numerous back and forth they are still adamant about me paying a usd cancellation fee despite me having a legitimate reason cancelling months in advance tickets being sgd more expensive now than when i booked japan airlines has truly disappointed me with their inflexible and uncompassionate disposition dont you have expecting fathers or mothers among your employees i guess compassion doesnt translate well to japanese no wonder your suicide rates are so high,1
great economy seats service food and entertainment what really stood out was during our rare delay in bangkok jal staff were helpful in rebooking onto a flight that i found while waiting in line that would get us back home in time and give us a layover in tokyo to explore for a while not only did they rebook us without question our bags arrived as normal in tokyo and they even paid for our transportation into the city and a nice hotel room very happy with their service and would fly with jal anywhere possible,5
jal were absolutely fantastic i have flown on the big etihademirates and qatar and i can say with confidence i feel jal were better than all professionalism and service even in economy the flight crew could not do enough for you exceptionally polite and respectful and the kind of service normally reserved for business and first class the inflight meal was delicious hearty and sizeably larger than most other economy sized meals on other airlines seat configuration on the and were which i also prefer as it does feel there is more legroom and individual space compared to most other major airlines all in all long gruelling flights were made much easier and comfortable due to jals excellence in my opinion unrivaled in economy from all other major airlines in europe middle east and usa thank you jal,5
a complete zero terrible experience with customer service today a complete mess and rude customer service i was trying to book the same flight as my family at the same time they were booking but the jal website was showing an error after refreshing the page for an hour and a half i decided to book it the next morning and the price went up although it shows seats are available at the original price through a rd party i called the customer service rep i wish i got her name and she was so rude i told her my name multiple times after she called me the wrong name and then she laughed at me they refuse to match the price even though it was their error on their website my family has booked other tickets and this customer service representative was so unhelpful and rude we are all never flying with jal my family is cancelling all tickets and booking on a different airline i was on the call for close to an hour if i could leave a minus rating i would,1
its efficient but functional theres no personal touch the language barrier was difficult for me as a hidden disabilities traveller the plane was ok but seats uncomfortable food mediocre the vegetarian snack on boarding was a bread roll with a slice of lettuce and a slice of tomato in it jal did get our luggage transferred to a connecting flight efficiently,3
never ever again i had a very miserable experience from their business class everything is old and dirty i flew in many airline companies including qatar airlines and this one cant even come close to qatar and dubai and even lufthansa upgrade your airplanes its nasty,1
this is the worst business class experience i have ever had the planes are old the food is average at best they made me check in timeseach airport they didnt even have an amenity pouch so no eye mask for sleeping the lay down seats are hard and old and the blankets are thin and no you cant have two no online check inso no getting your seat or food chosen ahead of time it was awful,1
lost my luggage during transition flight spent few hours at the airport try to figure that out got to hotel at midnight with no clean clothes and no store open found it two days after and found the luggage was badly damaged with the case cant close completely they offer my us for compensation said because my luggage only damaged one side and its not total lost wtf back and forth with jal in email wasting time and energy jal sucks,1
i bought business class tickets for my wife and me to go to chicago from delhi via tokyo and return via honolulu as such nothing is terribly wrong but overall it is a very poor quality of experience right from check in through to in flight service is okay but soulless the seats are good the television does not really work and is very glitchy very few movies relative to something like united and movies have poor prints and keep stopping or being erratic but the worst part is the cabin service while the cabin attendants are very polite they are politely ineffective a meal service takes hours and in a hour flight lights are barely dimmed and if so then hardly so for hour or so i buy business class tickets mainly for the flat bed and ability to sleep through a red eye flight but jal makes that impossible i would not recommend it to anyone,2
i have chosen jalfor trips to asia and i find that the comfort food and service is one of the best of all airlines i flew on june th on flight from singapore to narita then on flight from narita to sfo on both flights the food is beyond excellent my wife judy ng believes it is michelin star fine dining quality the effort and planning of the food shows excellent work by the chefs and staff secondly i would like to commend the stewardess staff on both flight jal flight and jal flight on june on business class they did such a wonderful job i wrote their names down first names were kondo and handa on flight business class and ms aoki and ms seto on flight business class both on june th i believe me and my wife spoke to each stewardess and were overjoyed with their kindness and service on flight we spoke to the manager of the crew i believe thirdly id like to commend the jal organization for their ability to switch my wifes nonwindow seat to an locked window seat on business and they were able to move me so that we were togeather this request started in singapore jal check in i have a photo of both the ticket agent lady and her manager who took the matter and contacted narita airport staff to execute the seat change what fantastic coordination and service thank you we were met at the gate by jal staff person and she had a sign for ms judy ng wife and escorted to the transfer desksekura first class lounge for reticketing every thing was so quickly professionally done what a overall professional organization and staff thank you judyhippofantyahoocom and richjohnleeyahoocom,5
on june we flew from hkd to nrt on flight jal ms yamanouchi went above and beyond to assist us with our luggage checkin and boarding passes she even included a heartfelt thankyou note making our experience with japan airlines truly memorable we were deeply touched by this personalized gesture thank you ms yamanouchi,5
one of the best airlines out there the flight attendants were super nice the food was great the seats were comfy the plane was clean overall a great experience,5
comparison of the first class services of japan airlines jal and all nippon airways ana service in terms of service japan airlines jal clearly has the upper hand jals cabin crew is renowned for their friendliness professionalism and meticulous attention to detail whether addressing passenger needs or handling unexpected situations jal staff respond quickly and gracefully making passengers feel warmly welcomed while anas service is also excellent it falls slightly short in the finer details compared to jal food jal also excels in the food department the firstclass meals on jal are designed by michelinstarred chefs offering a diverse and delicious selection especially in japanese cuisine the ingredients are fresh and the presentation is exquisite reflecting the chefs dedication in every dish although anas food is also good it is somewhat less impressive in terms of taste and refinement compared to jal hardware facilities when it comes to hardware facilities ana takes the lead anas firstclass seats are more spacious and comfortable providing better privacy and entertainment options the seat design is more modern and comes with a more advanced entertainment system and seat control features however it is worth noting that jal is continually improving its hardware facilities although their latest firstclass equipment has not been widely implemented yet it is expected to catch up with or even surpass ana in the future amenity kits pajamas and slippers in terms of amenity kits pajamas and slippers ana is more thoughtful ana provides highquality skincare products and comfortable pajamas in their amenity kits and the slippers are designed with great care ensuring passengers feel more comfortable and relaxed during long flights in comparison while jals amenity kits are also quite good they are slightly less impressive in terms of detail and material quality conclusion overall jal outperforms in service and food offering passengers a superior experience on the other hand ana excels in hardware facilities and amenity kits focusing more on passenger comfort if you prioritize inflight service and food quality jal is a great choice if you value seat comfort and privacy more ana would be the better option ultimately the choice between the two airlines depends on personal preferences and needs,5
purchased business class route trips for my family vacation from jfkhnd the flight was delayed for a day due to jals own fault and airline promised reimburstment for a single day during the check in following their instruction i submitted the documentations via email to jaljfklljalcom after waiting or weeks i finally called jal upon confirming my information they refused to reimburst for my lost of hotel use which is only relative to the cost of business flights this amount of money is not too significant but morally this feels wrong jal is dishonest and will look to scam you every chance they get,1
i recently booked a flight from san francisco through jals website and was incredibly impressed with the experience the website has a clean userfriendly design that made it easy to navigate and find the best flight options the booking process was straightforward and i appreciated how seamlessly everything worked checking in online was also a breeze allowing me to avoid long lines at the airportthe flight attendants were friendly and attentive if you are flying to japan take this airline if i had to find any drawback it was that there were not as many entertainment options as other airlines but still had plenty of choices,5
exceptional staff attitude from check in onboard up to my arrival in tokyo haneda proactive client orientated and a perfect example for japanese know how of service and respect next time hopefully on a long distance flight,5
we had to fly from osaka to tokyo and then on to sydney our first flight was late leaving osaka because of bad weather so only had hour to get from terminal to in tokyo the staff were very helpful with one staff member walking us and then onto shuttle bus to terminal then another took over through security and waited until we boarded we found them so helpful and the seats in economy were roomy,5
japan airlines is constantly surprising me how poorly they communicate in english one airport has a same day check in while the other is hours before only leaving me and my family stranded in the airport waiting to check in with over degrees outside in delhi airport where there are no restaurants before security they didnt even have a specific check in counter and we had to deal with the unhelpful information desk because of their lack of communication my family has now been put in a difficult situation times on this one trip i was told they have amazing service but only if you know how to find information hidden away on their website good luck if you travel with them,1
awful service unorganized asked for a glass of water and got a rude reply to wait till food is served since there will be water on the food tray such a terrible flight attendant behaviour also there was a question to choose beef or chicken and when i said chicken she replied we run out of chicken so what is the point of asking then and how can you run out of food when you just strated from your base airport terrible service rude attendant probably not all flight attendants just this one i was unfortunate to have serving my row she influenced negativly the whole jal experience can not beleive who they employ,1
worst checkin experience ive every had via self checkin took long time and so many steps and wasnt even seated next to partner online booking managing dificult to use as well and staff at counter coulsnt help to fix,1
jal is my favourite airline if i am crossing the pacific it will be my first choice firstly the cabin crew are superb they go out of their way to serve i was impressed food top notch wines was excellent seat very comfortable a mattress was helpful love the cardigan that they gave the plane was sleek,5
i enjoyed this trip i had paid seating upgrade which made the trip a lot better cm tall the food is excellent and the flight crew are amazing do not buy the wifi it is a complete scam across the pacific and down the coast of china and japan and it never worked nor did they try hard to get it working when asked for help also the plane was in incredible shape the other airlines could learn from jal no duct tape anywhere the plane looked like it was new,4
think carefully about premium economy not the greatest most disappointing is they are part of the one world alliance being a sapphire member youd think they would not disappoint on my return i checked in at least hours earlier i found i couldnt get my preference of an aisle seat what happens is you have couples taking both aisle seat in the centre arrangements and abuse the system they put in in the j seat with is the front seating the problem is that you share both tray an tv screen instead of independently living the arm rest you could only lift one wat between two the person next to me continually ripped open with such force i could not sleep or get comfortable not only that the seat i was assigned to was not comfortable i saw at least four hours to go and i contemplated sitting on the floor eventually i sat on the pillow and blanket to make it less stressful and relieve the pain from sitting not only that they were happy to take other customers meal tray and refused to take mine anyway they blamed the travel agent and ignores the one world alliance sapphire membership thus couples booked both aisle seats and paid for two seat and got three in return while i booked a seat which was nothing more than economy and paid premium prices,1
first my wife and i tried to call jal on the phone the day before travelling they were useless on the phone they could not upgrade us over the phone like every other airline could then they couldnt even seat us together via either the crappy app or on the phone next when checking in at the airport after several failed attempts via phone we were able to upgrade they told us the price would be yen each and we agreed then when they took us to another counter to pay they said the price is yen each we told them the first check in ppl told us the k but they didnt have a clue and we just paid the k so already feeling ripped off next the lounge situation what a joke if i had checked in on the app i was able to purchase entry to the sakura lounge for us both and was happy to pay but then guess what if you pay to upgrade your seat you are not allowed to even pay to get into the lounge seriously wow next im disabled and had registered for mobility assistance i cant walk far or stand for long so i need a wheelchair to the gate i have been travelling all over the world registering as needing mobility assistance and never was asked why until today the counter assistant asked me why i needed the wheelchair and if i was on medication just wow no other airline or country has ever asked these things so right after explaining that she went back behind the counter said something to her coworker the jal employees all seem to work one job in pairs for some unknown reason and they literally laughed out loud at whatever she said now i can only assume that was at my expense so so rude so much for japanese hospitality next it takes two people to take us through security and customs one to push the wheelchair and one to do nothing but supervise the whole thing very weird so they say we cannot access any lounge and leave us our gate as soon as they leave us my wife goes to an information desk and they direct us straight to one of the lounges where we were able to pay and access again seriously what a joke of customer service,1
i was traveling for business and booked my husband as well despite calling jal to connect our bookings over a month before departure they are now saying we cant sit together terrible for the airline meant to be a leader in customer experience,1
i fly all the time and jal is by far the worst airline i have ever flown i booked business class tickets but when i checked in i found out they didnt offer business class on my flight they called it like business class because they offered water and juice but they charged a business class price and listed it as business class false advertising they would only let me carry on my computer and a couple other things that weighed a total of pounds i had to check everything they kept weighing and reweighing until it was exactly pounds we were also in the last group to board the plane i will never fly jal again what a shady airline in the same class as spirit airlines in the usa,1
i took a return flight on th apr from singapore to san francisco on jl and jl and on th may on jl and jl my experience with jal on those flights has been fantastic cabin crews professionalism had been exemplary they were courteous attentive smart and incredibly efficient cabin and toilets were clean well maintained and quiet they were also equipped with automatic bidet illumination and dimming of lights of the cabin were graceful and gentle to the eyes adjustable windows tint instead of the pulldown one excellent foods in the economy class with wide variety of choices of beverages juices red and white wines green tea water soft drinks jal is by far the most customercentric airline i have been on i absolutely recommend jal and look forward to fly jal again,5
it was the worst experience ive ever had on any airline in business class i was seated in a center aisle seat and it was awful i feel they should not charge regular fares for those seats i felt like i was in a coffin the service was almost non existent and the food was yucky it was my first flight with them and certainly my last,1
i have been flying jal for few years now from boston to jakarta and by far the best airline compare to other choices out of bos every single staff from check in to fa are super friendly foods on board are also good,5
terrible service website is useless you cant check in online so when you get to the airport you find out your entire family is split all across the plane and they cant do anything about it avoid this airline,1
i flew from sfo to tokyo on jl then on the same day i caught a connector to kagoshima with my year old father who has issues walking all of the flight attendants were professional and very pleasant they took the time to make sure my elderly father was comfortable and safe i fly alot on business domestically and our domestic airlines could learn alot from jal,5
good seat good food good entertainment jal delivers top class service even in the cheap seats in flight entertainment had one of the better selections ive seen on an asian carrier and more logically arranged an entire season of kimichika kazama kyojo zero was on offer and soaked up flight time much better than scattered episodes of multiple tv shows all the while plenty of drinks and snacks were served a paid exclusive meal is available on flights from japan and i had kabayaki eel for the first time one of the friendly flight attendants explained each of the dishes and how to best enjoy them im not an adventurous diner but everything was tops was very nice to have someone guide me through the menu jal customer service is aces as for the price a bit on the high side at a comparable paid meal on ana is only or just under usd at todays rates impossible to choose between jal and ana theyre both very very good at making long haul flights bearable even enjoyable,5
